"continent","region","country"
"Europe","Southern Europe","Albania"
"Africa","Northern Africa","Algeria"
"Africa","Middle Africa","Angola"
"Americas","Caribbean","Antigua and Barbuda"
"Americas","South America","Argentina"
"Asia","Western Asia","Armenia"
"Americas","Caribbean","Aruba"
"Oceania","Australia and New Zealand","Australia"
"Europe","Western Europe","Austria"
"Asia","Western Asia","Azerbaijan"
"Americas","Caribbean","Bahamas"
"Asia","Western Asia","Bahrain"
"Asia","Southern Asia","Bangladesh"
"Americas","Caribbean","Barbados"
"Europe","Eastern Europe","Belarus"
"Europe","Western Europe","Belgium"
"Americas","Central America","Belize"
"Africa","Western Africa","Benin"
"Asia","Southern Asia","Bhutan"
"Americas","South America","Bolivia"
"Europe","Southern Europe","Bosnia and Herzegovina"
"Africa","Southern Africa","Botswana"
"Americas","South America","Brazil"
"Asia","South-Eastern Asia","Brunei"
"Europe","Eastern Europe","Bulgaria"
"Africa","Western Africa","Burkina Faso"
"Africa","Eastern Africa","Burundi"
"Asia","South-Eastern Asia","Cambodia"
"Africa","Middle Africa","Cameroon"
"Americas","Northern America","Canada"
"Africa","Western Africa","Cape Verde"
"Africa","Middle Africa","Central African Republic"
"Africa","Middle Africa","Chad"
"Americas","South America","Chile"
"Asia","Eastern Asia","China"
"Americas","South America","Colombia"
"Africa","Eastern Africa","Comoros"
"Africa","Middle Africa","Congo, Dem. Rep."
"Africa","Middle Africa","Congo, Rep."
"Americas","Central America","Costa Rica"
"Africa","Western Africa","Cote d'Ivoire"
"Europe","Southern Europe","Croatia"
"Americas","Caribbean","Cuba"
"Asia","Western Asia","Cyprus"
"Europe","Eastern Europe","Czech Republic"
"Europe","Northern Europe","Denmark"
"Africa","Eastern Africa","Djibouti"
"Americas","Caribbean","Dominican Republic"
"Americas","South America","Ecuador"
"Africa","Northern Africa","Egypt"
"Americas","Central America","El Salvador"
"Africa","Middle Africa","Equatorial Guinea"
"Africa","Eastern Africa","Eritrea"
"Europe","Northern Europe","Estonia"
"Africa","Eastern Africa","Ethiopia"
"Oceania","Melanesia","Fiji"
"Europe","Northern Europe","Finland"
"Europe","Western Europe","France"
"Oceania","Polynesia","French Polynesia"
"Africa","Middle Africa","Gabon"
"Africa","Western Africa","Gambia"
"Asia","Western Asia","Georgia"
"Europe","Western Europe","Germany"
"Africa","Western Africa","Ghana"
"Europe","Southern Europe","Greece"
"Americas","Northern America","Greenland"
"Americas","Caribbean","Grenada"
"Americas","Central America","Guatemala"
"Africa","Western Africa","Guinea"
"Africa","Western Africa","Guinea-Bissau"
"Americas","South America","Guyana"
"Americas","Caribbean","Haiti"
"Americas","Central America","Honduras"
"Asia","Eastern Asia","Hong Kong, China"
"Europe","Eastern Europe","Hungary"
"Europe","Northern Europe","Iceland"
"Asia","Southern Asia","India"
"Asia","South-Eastern Asia","Indonesia"
"Asia","Southern Asia","Iran"
"Asia","Western Asia","Iraq"
"Europe","Northern Europe","Ireland"
"Asia","Western Asia","Israel"
"Europe","Southern Europe","Italy"
"Americas","Caribbean","Jamaica"
"Asia","Eastern Asia","Japan"
"Asia","Western Asia","Jordan"
"Asia","Central Asia","Kazakhstan"
"Africa","Eastern Africa","Kenya"
"Oceania","Micronesia","Kiribati"
"Asia","Eastern Asia","South Korea"
"Asia","Western Asia","Kuwait"
"Asia","Central Asia","Kyrgyz Republic"
"Asia","South-Eastern Asia","Lao"
"Europe","Northern Europe","Latvia"
"Asia","Western Asia","Lebanon"
"Africa","Southern Africa","Lesotho"
"Africa","Western Africa","Liberia"
"Africa","Northern Africa","Libya"
"Europe","Northern Europe","Lithuania"
"Europe","Western Europe","Luxembourg"
"Asia","Eastern Asia","Macao, China"
"Europe","Southern Europe","Macedonia, FYR"
"Africa","Eastern Africa","Madagascar"
"Africa","Eastern Africa","Malawi"
"Asia","South-Eastern Asia","Malaysia"
"Asia","Southern Asia","Maldives"
"Africa","Western Africa","Mali"
"Europe","Southern Europe","Malta"
"Africa","Western Africa","Mauritania"
"Africa","Eastern Africa","Mauritius"
"Americas","Central America","Mexico"
"Oceania","Micronesia","Micronesia, Fed. Sts."
"Europe","Eastern Europe","Moldova"
"Asia","Eastern Asia","Mongolia"
"Europe","Southern Europe","Montenegro"
"Africa","Northern Africa","Morocco"
"Africa","Eastern Africa","Mozambique"
"Africa","Southern Africa","Namibia"
"Asia","Southern Asia","Nepal"
"Europe","Western Europe","Netherlands"
"Oceania","Melanesia","New Caledonia"
"Oceania","Australia and New Zealand","New Zealand"
"Americas","Central America","Nicaragua"
"Africa","Western Africa","Niger"
"Africa","Western Africa","Nigeria"
"Europe","Northern Europe","Norway"
"Asia","Western Asia","Oman"
"Asia","Southern Asia","Pakistan"
"Americas","Central America","Panama"
"Oceania","Melanesia","Papua New Guinea"
"Americas","South America","Paraguay"
"Americas","South America","Peru"
"Asia","South-Eastern Asia","Philippines"
"Europe","Eastern Europe","Poland"
"Europe","Southern Europe","Portugal"
"Americas","Caribbean","Puerto Rico"
"Asia","Western Asia","Qatar"
"Europe","Eastern Europe","Romania"
"Europe","Eastern Europe","Russia"
"Africa","Eastern Africa","Rwanda"
"Americas","Caribbean","St. Lucia"
"Americas","Caribbean","St. Vincent and the Grenadines"
"Oceania","Polynesia","Samoa"
"Asia","Western Asia","Saudi Arabia"
"Africa","Western Africa","Senegal"
"Europe","Southern Europe","Serbia"
"Africa","Eastern Africa","Seychelles"
"Africa","Western Africa","Sierra Leone"
"Asia","South-Eastern Asia","Singapore"
"Europe","Eastern Europe","Slovak Republic"
"Europe","Southern Europe","Slovenia"
"Oceania","Melanesia","Solomon Islands"
"Africa","Southern Africa","South Africa"
"Europe","Southern Europe","Spain"
"Asia","Southern Asia","Sri Lanka"
"Africa","Northern Africa","Sudan"
"Americas","South America","Suriname"
"Africa","Southern Africa","Swaziland"
"Europe","Northern Europe","Sweden"
"Europe","Western Europe","Switzerland"
"Asia","Western Asia","Syria"
"Asia","Central Asia","Tajikistan"
"Africa","Eastern Africa","Tanzania"
"Asia","South-Eastern Asia","Thailand"
"Asia","South-Eastern Asia","Timor-Leste"
"Africa","Western Africa","Togo"
"Oceania","Polynesia","Tonga"
"Americas","Caribbean","Trinidad and Tobago"
"Africa","Northern Africa","Tunisia"
"Asia","Western Asia","Turkey"
"Asia","Central Asia","Turkmenistan"
"Africa","Eastern Africa","Uganda"
"Europe","Eastern Europe","Ukraine"
"Asia","Western Asia","United Arab Emirates"
"Europe","Northern Europe","United Kingdom"
"Americas","Northern America","United States"
"Americas","South America","Uruguay"
"Asia","Central Asia","Uzbekistan"
"Oceania","Melanesia","Vanuatu"
"Americas","South America","Venezuela"
"Asia","Western Asia","West Bank and Gaza"
"Asia","South-Eastern Asia","Vietnam"
"Asia","Western Asia","Yemen"
"Africa","Eastern Africa","Zambia"
"Africa","Eastern Africa","Zimbabwe"
